Name,Type 1,Type 2
Abomasnow,grass,ice
Abomasnow,grass,ice
Abomasnow,grass,ice
Abomasnow,grass,ice
Abomasnow,grass,ice
Abomasnow,grass,ice
Abomasnow,grass,ice
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Abra,psychic,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Absol,dark,
Accelgor,bug,
Accelgor,bug,
Aegislash,steel,ghost
Aegislash,steel,ghost
Aegislash,steel,ghost
Aegislash,steel,ghost
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aerodactyl,rock,flying
Aggron,steel,rock
Aggron,steel,rock
Aggron,steel,rock
Aggron,steel,rock
Aggron,steel,rock
Aggron,steel,rock
Aggron,steel,rock
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Aipom,normal,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alakazam,psychic,
Alomomola,water,
Alomomola,water,
Altaria,dragon,flying
Altaria,dragon,flying
Altaria,dragon,flying
Altaria,dragon,flying
Altaria,dragon,flying
Amaura,rock,ice
Amaura,rock,ice
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Ambipom,normal,
Amoonguss,grass,poison
Amoonguss,grass,poison
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Ampharos,electric,
Anorith,rock,bug
Anorith,rock,bug
Anorith,rock,bug
Anorith,rock,bug
Anorith,rock,bug
Araquanid,water,bug
Araquanid,water,bug
Araquanid,water,bug
Araquanid,water,bug
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arbok,poison,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arcanine,fire,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Arceus,normal,
Archen,rock,flying
Archen,rock,flying
Archen,rock,flying
Archen,rock,flying
Archen,rock,flying
Archeops,rock,flying
Archeops,rock,flying
Archeops,rock,flying
Archeops,rock,flying
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Ariados,bug,poison
Armaldo,rock,bug
Armaldo,rock,bug
Armaldo,rock,bug
Armaldo,rock,bug
Armaldo,rock,bug
Armaldo,rock,bug
Aromatisse,fairy,
Aromatisse,fairy,
Aron,steel,rock
Aron,steel,rock
Aron,steel,rock
Aron,steel,rock
Aron,steel,rock
Aron,steel,rock
Aron,steel,rock
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Articuno,ice,flying
Audino,normal,
Audino,normal,
Audino,normal,
Audino,normal,
Audino,normal,
Audino,normal,
Audino,normal,
Aurorus,rock,ice
Aurorus,rock,ice
Avalugg,ice,
Avalugg,ice,
Axew,dragon,
Axew,dragon,
Axew,dragon,
Axew,dragon,
Axew,dragon,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azelf,psychic,
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azumarill,water,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Azurill,normal,fairy
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Bagon,dragon,
Baltoy,ground,psychic
Baltoy,ground,psychic
Baltoy,ground,psychic
Baltoy,ground,psychic
Baltoy,ground,psychic
Baltoy,ground,psychic
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Banette,ghost,
Barbaracle,rock,water
Barbaracle,rock,water
Barboach,water,ground
Barboach,water,ground
Barboach,water,ground
Barboach,water,ground
Barboach,water,ground
Barboach,water,ground
Barboach,water,ground
Basculin,water,
Basculin,water,
Basculin,water,
Basculin,water,
Bastiodon,rock,steel
Bastiodon,rock,steel
Bastiodon,rock,steel
Bastiodon,rock,steel
Bastiodon,rock,steel
Bastiodon,rock,steel
Bastiodon,rock,steel
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Bayleef,grass,
Beartic,ice,
Beartic,ice,
Beautifly,bug,flying
Beautifly,bug,flying
Beautifly,bug,flying
Beautifly,bug,flying
Beautifly,bug,flying
Beautifly,bug,flying
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beedrill,bug,poison
Beheeyem,psychic,
Beheeyem,psychic,
Beldum,steel,psychic
Beldum,steel,psychic
Beldum,steel,psychic
Beldum,steel,psychic
Beldum,steel,psychic
Beldum,steel,psychic
Bellossom,grass,
Bellossom,grass,
Bellossom,grass,
Bellossom,grass,
Bellossom,grass,
Bellossom,grass,
Bellossom,grass,
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bellsprout,grass,poison
Bergmite,ice,
Bergmite,ice,
Bewear,normal,fighting
Bewear,normal,fighting
Bewear,normal,fighting
Bewear,normal,fighting
Bibarel,normal,water
Bibarel,normal,water
Bibarel,normal,water
Bibarel,normal,water
Bibarel,normal,water
Bidoof,normal,
Bidoof,normal,
Bidoof,normal,
Bidoof,normal,
Bidoof,normal,
Bidoof,normal,
Bidoof,normal,
Binacle,rock,water
Binacle,rock,water
Bisharp,dark,steel
Bisharp,dark,steel
